Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P1,F68,Southwest,JFK,ATL,2024-03-27 06:22:06,161,On-time,803,148.42,47,Male,Medium,Emergency,Business,2,Platinum,Online,8.801355815,0,91,1,1,Window,102
P2,F1687,Southwest,JFK,DFW,2024-12-28 09:18:06,130,On-time,1605,228.57,30,Female,Low,Family,Business,1,Gold,Airport Kiosk,9.094379535,2,45,0,0,Middle,51
P3,F1745,United,ORD,ORD,2024-05-23 23:28:20,169,On-time,908,232.45,46,Male,Low,Business,Economy,0,Silver,Airport Kiosk,8.015234664,0,63,0,0,Middle,92
P4,F1514,Delta,SEA,ORD,2023-10-31 08:09:27,227,On-time,63,526.43,75,Female,Medium,Leisure,Business,0,Platinum,Online,7.544132606,9,57,0,1,Window,14
P5,F1753,Southwest,LAX,JFK,2025-01-17 22:21:13,150,On-time,628,324.14,23,Male,High,Family,Economy,2,Silver,Desk,7.133139948,3,58,0,0,Middle,106
P6,F1928,Delta,SFO,LAX,2025-02-15 01:17:31,155,On-time,1409,402.53,28,Female,Low,Emergency,Business,0,,Online,9.577452567,11,68,0,0,Window,71
P7,F532,Delta,ATL,SEA,2024-10-30 14:20:06,170,On-time,794,356.89,69,Female,Low,Emergency,Economy,0,Silver,Mobile App,7.404526183,17,37,0,0,Window,60
P8,F857,Delta,DFW,LAX,2023-11-12 13:05:12,82,On-time,1273,414,59,Male,Medium,Emergency,Business,1,,Airport Kiosk,8.544832992,11,49,0,0,Middle,20
P9,F16,American Airlines,ATL,SEA,2023-11-16 00:44:10,191,On-time,1196,201.48,50,Female,Medium,Emergency,Economy,0,Gold,Online,6.293315475,16,57,0,0,Window,102
P10,F473,United,DEN,JFK,2025-04-18 01:27:34,201,On-time,1115,444.95,60,Female,Medium,Emergency,Economy,1,Platinum,Airport Kiosk,8.642996784,1,116,0,1,Aisle,82
P11,F960,United,SEA,SFO,2024-04-29 10:38:34,245,On-time,818,218.26,77,Male,Medium,Business,Business,1,,Mobile App,8.981152719,4,87,0,0,Middle,86
P12,F170,JetBlue,DFW,ATL,2023-06-20 14:41:24,101,On-time,1148,338,39,Male,Medium,Business,Premium Economy,1,Gold,Online,7.938701718,7,9,0,0,Middle,74
P13,F1171,American Airlines,DFW,ORD,2024-02-28 01:57:01,108,Delayed,1167,388.83,28,Female,Medium,Emergency,Economy,0,,Desk,7.097553,13,115,0,0,Window,74
P14,F1788,United,DEN,JFK,2024-09-18 07:37:18,237,On-time,1544,276.14,38,Female,Low,Business,Economy,0,Silver,Desk,8.371072669,3,13,0,0,Window,87
P15,F377,Southwest,JFK,DEN,2024-05-13 12:05:04,188,On-time,596,359.22,20,Male,Low,Business,Business,0,Gold,Desk,9.696190518,8,87,0,0,Window,116
P16,F484,Southwest,SEA,SEA,2023-05-12 20:15:14,228,On-time,1256,361.83,73,Male,Low,Business,Business,1,,Mobile App,9.421365563,3,84,0,0,Middle,99
P17,F1631,JetBlue,DFW,ORD,2023-10-19 19:34:27,85,On-time,1012,222.65,19,Female,Medium,Emergency,Premium Economy,0,,Online,8.416482761,11,76,0,0,Middle,103
P18,F170,JetBlue,DFW,DEN,2024-04-13 01:27:37,232,On-time,1196,439.21,18,Female,Low,Family,Premium Economy,0,,Mobile App,8.095781847,12,8,0,0,Window,23
P19,F478,JetBlue,DFW,SFO,2024-01-26 01:03:40,167,Delayed,1240,215.42,64,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,5.900382691,4,88,0,0,Aisle,2
P20,F362,JetBlue,ATL,JFK,2024-09-19 00:55:28,83,On-time,1387,496.54,20,Male,Medium,Leisure,Economy,0,Platinum,Mobile App,6.938866542,2,24,0,0,Aisle,21
P21,F1143,Southwest,ATL,LAX,2023-11-16 21:04:19,248,On-time,1004,388.72,22,Male,Medium,Emergency,Premium Economy,0,,Mobile App,6.766471616,4,59,0,0,Middle,52
P22,F39,Delta,ORD,DEN,2023-08-24 21:38:28,229,On-time,1278,271.2,29,Male,Medium,Family,Economy,1,Gold,Airport Kiosk,7.494365977,9,52,1,1,Window,1
P23,F1663,American Airlines,SFO,SEA,2025-02-11 07:57:22,87,On-time,902,248.89,54,Male,High,Business,Economy,1,,Mobile App,8.06187677,3,10,0,0,Window,87
P24,F290,JetBlue,LAX,SEA,2023-05-25 00:18:47,256,Cancelled,1328,192,60,Female,Low,Leisure,Economy,2,Gold,Online,6.859631646,16,66,0,0,Window,107
P25,F888,JetBlue,ORD,JFK,2023-08-06 21:18:14,238,On-time,959,243.87,55,Female,Medium,Leisure,Economy,0,,Online,6.122058456,6,92,0,0,Middle,29
P26,F1447,United,ORD,LAX,2024-05-26 10:14:26,138,On-time,1397,406.52,34,Male,Medium,Leisure,Economy,1,,Online,7.038057541,6,94,0,0,Aisle,37
